name,googleId,latitude,longitude,googleMapsUri,websiteUri,address,shortAddress,phoneNumber,photo
Stonegate Village Apartments,ChIJiZCtekIohYARFbxHzuZ3_5Q,38.5474229,-121.78719009999999,https://maps.google.com/?cid=10736431869861542933,http://www.stonegatevillageapt.com/,"2950 Portage Bay W, Davis, CA 95616, USA","2950 Portage Bay W, Davis",(530) 756-2950,https://lh3.googleusercontent.com/places/ANXAkqHfz-v--MVI86OPayB9ty_GJBzKIp34dZQfB0y9LjENhxok6yGR4fTECEZ_GweFLPkUYxrCtCx7Crhb_MGHqbnXvujaxrXQTtE=s4800-w600-h400
Clubside Apartments,ChIJtVr5FUAohYARl-H8GJK3DxE,38.552646599999996,-121.7870178,https://maps.google.com/?cid=1229403061407768983,http://www.clubsideapartment.com/,"1050 Lake Blvd, Davis, CA 95616, USA","1050 Lake Blvd, Davis",(530) 753-6507,https://lh3.googleusercontent.com/places/ANXAkqE2iyIWvof44M_B7qqBhBw5EjmuGhAyNyC0qJY_SJFkOVb7g1mhn21u5n7ewHbFH8BHoz48njnEt8bjs_ft7Kq_9q0n08aKiVw=s4800-w600-h400
Renaissance Park Apartments,ChIJkQggWtkrhYARo1k5qkUxiiY,38.5425458,-121.7147354,https://maps.google.com/?cid=2777086295505721763,https://www.renaissancepark-davis.com/?utm_source=GMB&utm_medium=organic,"3000 Lillard Dr, Davis, CA 95618, USA","3000 Lillard Dr, Davis",(833) 531-2813,https://lh3.googleusercontent.com/places/ANXAkqEyNvBK_y1U4_F9a2FYJIsMYbT3AcqkiUeRQVOKORSg7cKUC24K6BNUdWK7hIVpdmrpFwBHCckck_tNXSoKwPIjXoSyneFqgbg=s4800-w600-h400
Adobe At Evergreen Apartments,ChIJJZ9VaDYohYARyucU7yZq_tE,38.560068,-121.771035,https://maps.google.com/?cid=15131648513463871434,http://adobe.tandemproperties.com/,"1500 Shasta Dr, Davis, CA 95616, USA","1500 Shasta Dr, Davis",(877) 850-5991,https://lh3.googleusercontent.com/places/ANXAkqHsCPfmiQyJycDupSxKZ1KKGc58DML9UYpKCfRvlmyQD00nxcx4vpauAEcKfkuuPFHSttfKqJdD70ucqW_DGCPFnFyAfM4Ogfk=s4800-w600-h400
Heather Glen Apartments,ChIJDyPh3x0phYARO2bzWqmHNiI,38.5545683,-121.78044860000001,https://maps.google.com/?cid=2465307007477048891,https://www.chochousing.org/heather-glen,"56 Shasta Dr, Davis, CA 95616, USA","56 Shasta Dr, Davis",(530) 757-4440,
Meadow Ridge,ChIJnWW8XccrhYARwGIsg52Aup8,38.5489369,-121.69709350000001,https://maps.google.com/?cid=11509653211697668800,https://meadowridgedavis.com/,"4447 Cowell Blvd, Davis, CA 95618, USA","4447 Cowell Blvd, Davis",(530) 753-7800,https://lh3.googleusercontent.com/places/ANXAkqFET-FRehNrhJy6BBSvgHjzgykthA7VfEqIcpI6e-cUxVLOZGb5UwYR1b6d0k3A8P_tguPaQarFS53cMkWV1XMVhMDur3N7-P4=s4800-w600-h400
Pepperwood,ChIJOYVD18ophYARSApJ5N1xeZU,38.5627999,-121.7645154,https://maps.google.com/?cid=10770765181664954952,https://www.pepperwoodapartments.com/?utm_source=GBP&utm_medium=organic,"2222 Sycamore Ln, Davis, CA 95616, USA","2222 Sycamore Ln, Davis",(530) 298-7691,https://lh3.googleusercontent.com/places/ANXAkqHtf39zcTsnMWF4B_S6IdCi8FWDCkvRwWoAA67xtBFluJCIz06b_it7CwxQqMQx3kc-VPmbH9Cr6zLhOvQrwIzggL71waekEhg=s4800-w600-h400
Homestead,ChIJF6ashtUrhYARNS2CWMj5XRY,38.5530329,-121.71916920000001,https://maps.google.com/?cid=1611718880542207285,http://www.chochousing.org/homestead,"2610 Grambling Ct, Davis, CA 95618, USA","2610 Grambling Ct, Davis",(530) 758-2177,
187 Mint Street,ChIJVZyujCAphYARMb2UpKG6gnY,38.540599199999996,-121.7767849,https://maps.google.com/?cid=8539593046861593905,,"187 Mint St, Davis, CA 95616, USA","187 Mint St, Davis",,https://lh3.googleusercontent.com/place-photos/ADOriq0JdrMMc6CJHRKgVDoFNVOsy37xed32Gay2nVYcUPhbWUcOxYGkG_KbMVfZyKj-dnEV36ckltdm3bqMY3FaC3fCrleJ-cKAk2jLKrNA5_D167-seEqMoYo8y5Ry0eZVNisfM6WA=s4800-w600-h400
Atriums at La Rue Park,ChIJD754sqsphYARu7BVyD8Jt6s,38.5450185,-121.76387129999999,https://maps.google.com/?cid=12373368670772375739,http://atriums.tandemproperties.com/,"400 Russell Park, Davis, CA 95616, USA","Russell Park Community Center, 400 Russell Park, Davis",(877) 801-7285,https://lh3.googleusercontent.com/places/ANXAkqHKdv8EXVgroCBaI9LkkjWGaOTgDKTZER7YEPGBIzml9oShrk0jC-0nGHDdL60Ndf6wOk7tpwKY7I4YbzBZ5Lxb7Y8B95VPTf0=s4800-w600-h400
Sterling 5th Street,ChIJWVbWfdcphYARU0vPoxXYMgk,38.5488044,-121.7240223,https://maps.google.com/?cid=662829682631068499,https://sterling5thstreet.com/,"2100 5th St, Davis, CA 95618, USA","2100 5th St, Davis",(530) 446-2285,https://lh3.googleusercontent.com/places/ANXAkqHjQi58nX9lhQySwqsR9OMDRIzMit8thpydJvGdC8oQgDpvFu1pgt8D-g09otvO2C5FTE6OXKCSAN_xF_aFJNSPutdlrLrIyXA=s4800-w600-h400
Aggie Square Apartments,ChIJmVyds7cphYAROS8Y7UPbX_w,38.5614166,-121.75657960000001,https://maps.google.com/?cid=18185494905132429113,https://www.davisapartmentsforrent.com/aggiesquare/,"644 Alvarado Ave, Davis, CA 95616, USA","644 Alvarado Ave, Davis",(530) 758-4752,https://lh3.googleusercontent.com/places/ANXAkqGCnEdQOJJqlfmve6qZFk1oivze1QxQ7DXFdd6Csy7gmzvKezFjJmgFW4mreQ9fvETMOmF5fuXaB5P_Pwe1z9qY0xRRcme8PyI=s4800-w600-h400
Octave,ChIJV0DzlmYphYAR1BoYiWRUFVA,38.5376185,-121.72771009999998,https://maps.google.com/?cid=5770611288318679764,https://www.liveatoctaveindavis.com/?utm_source=apartmentseo&utm_medium=googlepost&utm_campaign=aseogooglemybusinesspost,"1659 Drew Cir, Davis, CA 95618, USA","1659 Drew Cir, Davis",(530) 554-4210,https://lh3.googleusercontent.com/places/ANXAkqHqVU6XjHX9hk53hcOPWPLFxJAIeg19ew2Lo03WAENxaeiExtzxaPCTn1qUC5Gd04WWDRP_a2JF6ueysrB43Q4L7C8KA7cMLYI=s4800-w600-h400
Arlington Farm,ChIJJUBZI0IohYARcV6dIR8Xe1U,38.548782599999996,-121.78596619999998,https://maps.google.com/?cid=6159542337834671729,http://arlingtonfarm.tandemproperties.com/,"2901 Portage Bay W, Davis, CA 95616, USA","2901 Portage Bay W, Davis",(877) 872-2317,https://lh3.googleusercontent.com/places/ANXAkqGsf98ohPuqaheFZKs_gzl8dkSFZzVI81XwMhEElQ0Baz4auNK3X025G8_faEqhOfjMQU7s3Udr0JfJwZCkmTpUB_2Q_ungtLg=s4800-w600-h400
Chautauqua Apartments,ChIJkX8cEcophYARcp8qx9hopGM,38.5626823,-121.75948500000001,https://maps.google.com/?cid=7179978986199097202,http://chautauqua.tandemproperties.com/,"717 Alvarado Ave, Davis, CA 95616, USA","717 Alvarado Ave, Davis",(877) 850-8611,https://lh3.googleusercontent.com/places/ANXAkqEXmvFngsTX0LpilUUwFvc9KpVpsf3YXixFYhArU4ZPNMmDxvLiApJOgN8aP-yIbTUMDuVQ8RoE-RngbOJcL-QTCi_xJV346c8=s4800-w600-h400
Viking Apartments,ChIJiyaOg6EphYARNSLLt99mhps,38.551454199999995,-121.7447921,https://maps.google.com/?cid=11206757833805341237,https://www.rentingdavis.com/viking-apartments/,"801 D St, Davis, CA 95616, USA","801 D St, Davis",(530) 756-4200,https://lh3.googleusercontent.com/places/ANXAkqFHdW7QD-AH39Jm7eHXmer_rrq9Gt5dLY7REE4bzVV7rESmdxUoYIIua3_UU7gMt7IWBABmUerWTcrG-U6rPMsWe9SA9GDDSrg=s4800-w600-h400
Anderson Place Apartments,ChIJG4xaErcphYARIkeEArPa0bY,38.5591733,-121.7551798,https://maps.google.com/?cid=13173550847411636002,http://andersonplace.tandemproperties.com/,"1850 Hanover Dr, Davis, CA 95616, USA","1850 Hanover Dr, Davis",(877) 816-3627,https://lh3.googleusercontent.com/places/ANXAkqFi1frZlF1arPgylO6FcDJ9IcaFx3v73p5gxCG1_oHh9bs12KiHayGRT52Z7ecOCu8XjwOlCS3mmnQLC9NAYgbOOhzFnJdO9pE=s4800-w600-h400
Sharps & Flats Apartment Homes,ChIJz7h3wGYphYARR5Hw4Tl_jjI,38.5376785,-121.7262296,https://maps.google.com/?cid=3642989035169812807,https://www.liveatsharpsandflats.com/?utm_source=Homes%20eo&utm_medium=googlepost&utm_campaign=aseogooglemybusinesspost,"1660 Drew Cir, Davis, CA 95618, USA","1660 Drew Cir, Davis",(530) 867-9219,https://lh3.googleusercontent.com/places/ANXAkqHgjh68h-Z8xCIzKJJp7Q6jgGB8kd1eZBaRSRja20443qhpQlljwq_46BLSG19oRvj-mC6E2cTUUzsGTsIhbIIE-e2FhuBIaGg=s4800-w600-h400
Triebhaus,ChIJXwNyr4gphYARBgGilAM-dNI,38.5497483,-121.76940539999998,https://maps.google.com/?cid=15164814030362771718,,"691 Adams St, Davis, CA 95616, USA","691 Adams St, Davis",,
Sundance Apartments,ChIJkcC-MVIohYARtjInWB9Q5Ng,38.5473607,-121.76995050000001,https://maps.google.com/?cid=15628704702435635894,http://sundance.tandemproperties.com/,"510 Arthur St, Davis, CA 95616, USA","510 Arthur St, Davis",(877) 885-1506,https://lh3.googleusercontent.com/places/ANXAkqG719XgDG9KDWRrYpR3dK0uByy3WyiGXLUMjTkDq-9Mjoe8KTZ0X8KetqYIQGAGbUql6ifMPaVeZzbuV5VlQLR0B8aX6Z-LIms=s4800-w600-h400
Cranbrook Apartments,ChIJOTKOzpcphYARNM7Qr4n25mA,38.560062699999996,-121.7414117,https://maps.google.com/?cid=6982539343505182260,http://cranbrook.tandemproperties.com/,"955 Cranbrook Ct, Davis, CA 95616, USA","955 Cranbrook Ct, Davis",(877) 814-2706,https://lh3.googleusercontent.com/places/ANXAkqHSTCYTLk5Ia_mPDynjyMBILRG8XZvSBxA04gsWbBpXVD4e8a0QGASRg06rXjtsy0qfwi9-CjC55sOiKMmycVXIHRKtziOzjCU=s4800-w600-h400
Cambridge House,ChIJEx0H5HgphYARy_0pNYsm21s,38.550741699999996,-121.7275043,https://maps.google.com/?cid=6618926456685329867,https://www.cambridgehousedavis.com/,"619 Pole Line Rd, Davis, CA 95618, USA","619 Pole Line Rd, Davis",(530) 756-4020,https://lh3.googleusercontent.com/places/ANXAkqHDnjG4YfBvIC_nal3LEpgknqgAghMr1q5QduesFlyCf5sczdvcawt4tXgSQHgKeuwi9MMVqL70KFXb2_4Qwhhs-gxhei1m7vg=s4800-w600-h400
The Drake and Anderson Court Apartments,ChIJOSifeLYphYAR-e-9Gw5XAls,38.5601501,-121.7594711,https://maps.google.com/?cid=6557899725511454713,https://www.thedrakedavis.com/,"1905 Anderson Rd, Davis, CA 95616, USA","1905 Anderson Rd, Davis",(530) 756-4488,https://lh3.googleusercontent.com/places/ANXAkqFs9r1CTDRuuk5TwP8tvvtPGksicdOCW1d9Sq1DThRigZTvtVwrKqSRyVF5w_cb36gFFuIUc-fMOeD0ol074PVG6DBwoDlRw0g=s4800-w600-h400
South Community Center,ChIJ8duHZgAphYARnMU3fFHWjoM,38.5445315,-121.76516939999998,https://maps.google.com/?cid=9479749911126197660,https://housing.ucdavis.edu/apartments/orchard-park/,"Orchard Park Apartments, 5002 Orchard Park Cir, Davis, CA 95616, USA","Orchard Park Apartments, 5002 Orchard Park Cir, Davis",,
The Willows,ChIJS2lowD0ohYARIx2SYBqpECw,38.560379499999996,-121.7875684,https://maps.google.com/?cid=3175223668050631971,http://willows.tandemproperties.com/,"1959 Lake Blvd, Davis, CA 95616, USA","1959 Lake Blvd, Davis",(888) 315-7214,https://lh3.googleusercontent.com/places/ANXAkqG8rej7hrzwkwoy39_fwqobM1_nTh2__3RkCS4bgL2jpmj2J-GEurPonqMXaKjsAbA9GJflvdP0XZIwx_oKm5LCHfnrwg7pcUg=s4800-w600-h400
The Grove at Davis,ChIJY5VLcUAohYARvCnFBGaju8g,38.5536994,-121.7859725,https://maps.google.com/?cid=14464334286792501692,https://www.thegroveapartmentsatdavis.com/,"1333 Arlington Blvd, Davis, CA 95616, USA","1333 Arlington Blvd, Davis",(530) 298-6927,https://lh3.googleusercontent.com/places/ANXAkqHGXnLMUwxPLSGPi0dF80XCRcXww-zRdJchWlRcj8-UYRpYtPZlyJk2Ffb4392mLdPB23fDmfvNQjaKpQmKF6xEslJhgmWhgC0=s4800-w600-h400
The Alhambra at Mace Ranch,ChIJs1yT5skrhYARvR7l35jAnyg,38.5571759,-121.69702950000001,https://maps.google.com/?cid=2927270045638008509,https://www.liveatalhambramaceranch.com/,"4500 Alhambra Dr, Davis, CA 95618, USA","4500 Alhambra Dr, Davis",(844) 868-4851,
Eighth Street Apartments.,ChIJmz1G35wphYAR1QttwfblZ5A,38.553843799999996,-121.73221640000001,https://maps.google.com/?cid=10405538312032685013,https://www.simmonsre.net/8th-street,"1521 E 8th St, Davis, CA 95616, USA","1521 E 8th St, Davis",(530) 758-2261,https://lh3.googleusercontent.com/places/ANXAkqFuBwKcqL_4hrZf9p-wt1mnC53jtrMSNzLau4G3IABSjG9XlDibkVkAikdh6_f_Q-_Ggf9Q_IU77oOiwML7w8UsDtZRsNbO1Ug=s4800-w600-h400
The Arbors,ChIJbTlaVHAphYARcEe1s1E60ok,38.5436955,-121.73385929999999,https://maps.google.com/?cid=9931064250887128944,https://www.thearbors.com/,"1280 Olive Dr, Davis, CA 95616, USA","1280 Olive Dr, Davis",(530) 756-2424,https://lh3.googleusercontent.com/place-photos/ADOriq1jPeUeChTSbMCzru5qswz-2GWb6-c8eZya47fdMkx-SIdmTD3ELSDNDT51dM4aHkupB_vB0l2eca_8bAaNdiSm-1_TvDC3m60uBnmvbBwIpQx83sdW-1s2Ti6J1nhkJkxOgiDEPg=s4800-w600-h400
Tanglewood,ChIJMbKjuWUphYARnv8bdCK5SyY,38.539514,-121.72895600000001,https://maps.google.com/?cid=2759502754322579358,https://www.tanglewooddavisliving.com/?utm_source=GBP&utm_medium=organic,"1880 Cowell Blvd, Davis, CA 95618, USA","1880 Cowell Blvd, Davis",(530) 564-6795,https://lh3.googleusercontent.com/places/ANXAkqFXWxbRhsP4hAhJupFS3lisFpQPs7WXf9n1A5hqmh7_6KbTXVTRNY9ciZUUjgYwgwX0o0L_GiYXrHrOlxddoNUnY7bUMaO-yOI=s4800-w600-h400
Lanai Garden Apartments,ChIJKb-f7IIphYAR5pKImxCcIiE,38.5535632,-121.72938680000001,https://maps.google.com/?cid=2387642347602612966,,"1841 E 8th St, Davis, CA 95616, USA","1841 E 8th St, Davis",(530) 753-5025,
Clearwater Apartments,ChIJc-688cYrhYAREaR2-KsYlxg,38.5483663,-121.70082279999998,https://maps.google.com/?cid=1771912105280578577,https://werent.com/davis/,"4141 Cowell Blvd, Davis, CA 95618, USA","4141 Cowell Blvd, Davis",(530) 758-2411,https://lh3.googleusercontent.com/place-photos/ADOriq3GeoSLC2ZRrpZ9M2XPEbl90S8nlMgc3AzTP1eKMS9f39Z6sdsaxWJwVdviblPoAlUkiD2H72ZiE6YPnZ5wAg0mtMmk45ddLhD0namvbdtJUmfEypKynGWBlEG3lUK1PFqhr5yhkA=s4800-w600-h400
8th & Wake,ChIJm9ECk1IohYARInDvm706284,38.5485104,-121.76692269999998,https://maps.google.com/?cid=14905571977752178722,http://www.8thandwake.com/,"1440 Wake Forest Dr, Davis, CA 95616, USA","1440 Wake Forest Dr, Davis",(530) 298-7777,https://lh3.googleusercontent.com/place-photos/ADOriq2ypqQuCqyep0vUzyn1dtRBUfCJvtOwqhvCCP-KHvzdg6OM5WtnV7hVCgzmblMBKOFX9WdWDRoQTTZFothvx6QQkOR9dOQpsjThi7V4iR-L3HcztIRu67_47WHF-Yz2CPm6hWw=s4800-w600-h400
Ellington Apartments,ChIJ8fXcQ7krhYAR7_0nUIeGF4M,38.550199,-121.69121500000001,https://maps.google.com/?cid=9446166659156409839,https://www.ellington-apts.com/?utm_source=apartmentseo&utm_medium=gmb&utm_campaign=organicmaplisting,"4849 El Cemonte Ave, Davis, CA 95618, USA","4849 El Cemonte Ave, Davis",(530) 270-3504,https://lh3.googleusercontent.com/places/ANXAkqFnTcsW4QQuTNW5XACiKrsNRJ71sgyjl2o00IipQBD0EiNb7L4x_dWXTnS6iw4NDvl_i_PnaiCxxDqDRmF-nL0Hlsq-l04Zlf8=s4800-w600-h400
Fountain Circle Townhomes,ChIJtSyz5sophYARFVILbDrrWzA,38.5622373,-121.76316219999998,https://maps.google.com/?cid=3484637372854522389,https://www.davisapartmentsforrent.com/fountaincircle/,"1213 Alvarado Ave, Davis, CA 95616, USA","1213 Alvarado Ave, Davis",(530) 753-0408,https://lh3.googleusercontent.com/places/ANXAkqFCPM_ljt_z6VF4bFrbVGjfNAUlsh0IC3vLXQMTIZYOxp3RNyrDp1MRjAYaUAp3bGB6dwKXNTj8YHaT69y8Nu8PQXYBuMzqk6o=s4800-w600-h400
New Harmony Mutual Housing Community,ChIJl0Rs8NkrhYAR9jEI8pkHwtE,38.5474543,-121.71412509999999,https://maps.google.com/?cid=15114651657180819958,https://www.newharmonymutualhousing.com/,"3030 Cowell Blvd, Davis, CA 95618, USA","3030 Cowell Blvd, Davis",(530) 758-2889,https://lh3.googleusercontent.com/place-photos/ADOriq36w647xIWh6N_XCfYj65IIlqTSk6pPFgyG6pGRpOMbDPSxl_m_eQpvnoiYRrmlAAQtAo4jy7nN24yQ-WuR0NCWokBbJF05RPPETrraXmQ0IgGdmPVUfWBJ0ZVHq2k_Z9Pt6qAZOw=s4800-w600-h400
Oakshade Commons-FPI Management,ChIJgXFY3GMphYARZasTX_n0LAc,38.5401484,-121.7240277,https://maps.google.com/?cid=517057409119923045,https://www.oakshadecommons.com/,"2120 Cowell Blvd, Davis, CA 95618, USA","2120 Cowell Blvd, Davis",(530) 747-0632,https://lh3.googleusercontent.com/places/ANXAkqFXJ1HYMqtVqPD0uuBnGEOi24j2Qcvt9_Y_9bdfI4lnxWjrpqGwoxnXRs29_R5j8hh2IA2cytW5Sp3MDjh0b6Fq_qA5TA57JNM=s4800-w600-h400
Pennsylvania Place Apartments,ChIJzVv6_54phYARBvJRnhsMHn8,38.5515057,-121.73943019999999,https://maps.google.com/?cid=9159772004877988358,https://aorealtycorp.com/848/pennsylvania-place-apartments-for-rent/davis/95616,"911 Pennsylvania Pl, Davis, CA 95616, USA","911 Pennsylvania Pl, Davis",(530) 756-3355,https://lh3.googleusercontent.com/place-photos/ADOriq20DlgNqhG1Qpe7ifzFT0BCKR0I8zNG1p0-QY7Yyn5RV8IXy7FsUvnPHJJWX32NbROG4Oj_c0qmivoF5BCPJMXXLh4pretYEMQcMQ_yX3O9NXBXVvsReSct_GleJVBlkwv3vQU=s4800-w600-h400
Del Rio Live-Work Lofts,ChIJ5QTuJtQrhYARMc4o1yD7gPE,38.551885899999995,-121.7159882,https://maps.google.com/?cid=17402185078626897457,,"2779 Del Rio Pl, Davis, CA 95618, USA","2779 Del Rio Pl, Davis",(530) 304-7513,
Creekside,ChIJiXocb0ArhYARBge_UuDS4qA,38.5533748,-121.71186589999999,https://maps.google.com/?cid=11593060251707836166,https://jsco.net/property/creekside-davis-apartments/,"2990 5th St, Davis, CA 95618, USA","2990 5th St, Davis",(530) 750-7900,https://lh3.googleusercontent.com/place-photos/ADOriq0f830v2_2UuqGyOW-HsAHjtvYogwQqSTUE_7Ll03EArmCn4FnRBy6IyG0dbr_Etgoizrqj7iGh4hnskntW_4ajkhg9xtPRgp8G5yRKI5nM4qiLR4JKVZzlbVnydfUJEp8uoEJKTw=s4800-w600-h400
Twin Pines Apartments,ChIJuaOQwnQphYARsruxPRy6Cns,38.574205,-121.7480101,https://maps.google.com/?cid=8866103446889151410,https://www.twinpinesmutualhousing.com/,"3333 F St, Davis, CA 95616, USA","3333 F St, Davis",(530) 792-0400,
Brisa Villas,ChIJp3hZPGEphYARdM95vKoD9lE,38.5385829,-121.72394029999998,https://maps.google.com/?cid=5905911993184407412,https://brisa-davis.com/,"1600 Valdora St, Davis, CA 95618, USA","1600 Valdora St, Davis",(530) 758-2662,
The Trees,ChIJofDqwGkohYAR0LXKgdXMRn0,38.5476129,-121.78861789999999,https://maps.google.com/?cid=9027127720488383952,http://www.thetreesapartmentsdavis.com/,"510 Lake Blvd, Davis, CA 95616, USA","510 Lake Blvd, Davis",(530) 758-8733,https://lh3.googleusercontent.com/place-photos/ADOriq3FuawhE0Nc4egXw7hvpQpIE5aEgDa32-xXLpeyMin3SS7SGT-O8mXO-nbcYC16b6Yu3NOo-ymUKovGgZ72xl8moravLxBo2uYOlyWg9CCJEjH88hxj_Z34KcSsH65McA5x7Q4=s4800-w600-h400
The Edge Apartments,ChIJKymPxsUrhYAR73egFucVU4k,38.548624,-121.70258369999998,https://maps.google.com/?cid=9895276888524355567,https://www.theedgeaptsdavis.com/?rcstdid=Mg%3D%3D-YRjTEizZPgM%3D&utm_source=GBP&utm_medium=organic,"4005 Cowell Blvd, Davis, CA 95618, USA","4005 Cowell Blvd, Davis",(888) 864-8935,https://lh3.googleusercontent.com/places/ANXAkqECnVDVjjxhgKffqBM_xUKgmjbYm9gygKCeginD1LmnV3qK2eFDL3FFjtGqqtIuvVeP2rB55MsvreRKGlU0hGinw4KRx3NFHtI=s4800-w600-h400
Third & C,ChIJ9x2RvbUphYARg8dkivwEZc0,38.5439497,-121.74388549999999,https://maps.google.com/?cid=14800241233123133315,,"330 3rd St, Davis, CA 95616, USA","330 3rd St, Davis",,
Muir Commons,ChIJKTTzf0cohYARcCj40vhPQ1Y,38.555968,-121.77940799999998,https://maps.google.com/?cid=6215899840811378800,,"2222 Muir Woods Pl, Davis, CA 95616, USA","2222 Muir Woods Pl, Davis",(530) 758-5202,
3rd & U Apartments,ChIJEwRBuQsphYAROAu8IVPAv9Y,38.543864299999996,-121.74628349999999,https://maps.google.com/?cid=15474298307949103928,http://collegetownrealty.net/prod03.htm,"223 3rd St, Davis, CA 95616, USA","223 3rd St, Davis",,
Walnut Terrace Apartments,ChIJ3ybeRNIrhYARwG_vxZUVQwg,38.5549581,-121.71008270000002,https://maps.google.com/?cid=595343308758151104,,"3101 5th St, Davis, CA 95618, USA","3101 5th St, Davis",(530) 771-2379,
Campus Manor,ChIJBZca6gsphYARxxyQIXocjrE,38.543292699999995,-121.7466654,https://maps.google.com/?cid=12794194902280838343,,"230 A St, Davis, CA 95616, USA","230 A St, Davis",,
301 Citron,ChIJI3lmq5MphYARJO6V9BPICpk,38.5426543,-121.7764783,https://maps.google.com/?cid=11027846625603481124,https://housing.ucdavis.edu/apartments/the-green/floor-plans/301-citron-street/,"301 Citron St, Davis, CA 95616, USA","301 Citron St, Davis",(530) 752-2033,https://lh3.googleusercontent.com/place-photos/ADOriq2nbu67WD10RxoiFf3QrQ5P7BtpcpbLZqlwzySdOcECM5nrIWKNv6WrgsCrke4EmSJIdTBw6dp4Xlxg17wAHT1sz7M6K0zziNfor5pNJphmEBiTvn5pI0dxrKqH4Cm_I0j2M1fxrA=s4800-w600-h400
Chestnut Place Apartments,ChIJQbeiLp0phYARtgcPtmZ3Spg,38.5536817,-121.73145249999999,https://maps.google.com/?cid=10973714725066442678,https://sites.google.com/view/chestnut-place-apartments,"1615 E 8th St, Davis, CA 95616, USA","1615 E 8th St, Davis",(530) 753-0695,https://lh3.googleusercontent.com/places/ANXAkqGm4paIdkViy7O1U2w5jErCadJggBw_Nvnw9pXgSNFwUkmvbH5_NknrbyI24TNy2nF8lT8K22ZJWpHDC4ux_jzGy74eZzae8FU=s4800-w600-h400
Saratoga West,ChIJeYS7zzkohYARrle8w6TWIXs,38.560055899999995,-121.77688699999999,https://maps.google.com/?cid=8872608744043468718,https://saratogawest.yolopropertymanagement.com/,"2121 Glacier Dr, Davis, CA 95616, USA","2121 Glacier Dr, Davis",(530) 297-0770,
Silverstone Apartments,ChIJpYvsN44phYARHSSzKG1kUUY,38.564516399999995,-121.72959870000001,https://maps.google.com/?cid=5066941475765560349,https://www.silverstone-davis.com/?utm_source=GMB&utm_medium=organic,"2400 Pole Line Rd, Davis, CA 95618, USA","2400 Pole Line Rd, Davis",(844) 884-1475,https://lh3.googleusercontent.com/places/ANXAkqGADOLMZNL9bDKQ0_YnDnlIujhzh3sa86Wni6SWFdF99fZ-9Rqv6zMpVqFEgmQoHURmBbTXv0KwMN3KKEJ5o8N6iuWQA-DKAnY=s4800-w600-h400
University Square,ChIJT4l_s3YphYARR-kwKoFk-cI,38.5457393,-121.73566539999999,https://maps.google.com/?cid=14049371018480380231,https://aorealtycorp.com/805/university-square-apartments-apartments-for-rent/davis/95616,"300 J St, Davis, CA 95616, USA","300 J St, Davis",(530) 753-3408,https://lh3.googleusercontent.com/place-photos/ADOriq095X3YcDPJj-6qMOXXVATJdUsxULfrqJcVDoaoJpbdOlHiFQ88b7Df56VkL0stNq0u5yviBHhYJNf-j8svCGcdIXnuoAqTO0blm8o4VZ4FO_GC--BBMSe-44ORgZBkGT-6Zs-f=s4800-w600-h400
Villa Verde Apartments,ChIJp7HrlOwphYARxJJgsgg3LW8,38.542944299999995,-121.7455806,https://maps.google.com/?cid=8011119822653919940,,"200-298 University Ave, Davis, CA 95616, USA","200-298 University Ave, Davis",,https://lh3.googleusercontent.com/place-photos/ADOriq00Vf4YpGR6TvundObzj9HOUsy6frKM8GYSNc86ZumyQ3YHlg78SLXfERDC0yLmcenCL8YNJexW_btSrp7VaM6oC7lwGzgiMEjy6S1PHPGVeOWlXmuPmgfd1KqTbOgB8MZsvfPVvA=s4800-w600-h400
Tremont Green,ChIJYTKz5KArhYAR4Et_ZIXj5RA,38.552204200000006,-121.6764712,https://maps.google.com/?cid=1217629436329806816,https://www.tremontgreenmutualhousing.com/,"5663 Marden St, Davis, CA 95618, USA","5663 Marden St, Davis",(530) 747-0368,
Piñon,ChIJzxE7PlMohYAR-uFZlhH_imA,38.5471408,-121.76661089999999,https://maps.google.com/?cid=6956653025429152250,https://www.tccproperties.net/property/pinon-apartments/,"555 Guava Ln, Davis, CA 95616, USA","555 Guava Ln, Davis",(530) 753-7555,https://lh3.googleusercontent.com/place-photos/ADOriq2ilaf5RfxDvf-TWGKCmVKC_iD_QrUn6UrrtU9DQ4kOPYshZLNXc1m_aFRE5pX39vD9vafIEovpbihEox2foV5eiGugVpAVaN4g_m3BRdWk5D5ye_TDu_27SwYoR1keoLg9nno9tg=s4800-w600-h400
El Macero Apartments,ChIJDZoKNrkrhYAR1HxBWuF_33E,38.549407099999996,-121.69275739999999,https://maps.google.com/?cid=8205417651950943444,https://www.liveatelmacero.com/?utm_source=apartmentseo&utm_medium=gmb&utm_campaign=organicmaplisting,"4735 Cowell Blvd, Davis, CA 95618, USA","4735 Cowell Blvd, Davis",(530) 657-0375,https://lh3.googleusercontent.com/places/ANXAkqGpmnpg8PVxEPjHJ4S2Qw0flOFg5kr1t_Svn87UCBnxNSlVb6ZhUOCzKAI5WuOJU9_Szt2yoSf-hlegKX4H1ROYnY3iIA2IxQA=s4800-w600-h400
